# CPM = count / (column sum over ALL genes in the merged Salmon gene-count table) * 1e6; source table = <project>/results/trail1/star_salmon/salmon.merged.gene_counts.tsv
trial	sample	cell_type	n_cells	prep_status	platform	qc_overall	tissue_verdict	sort_verdict	population_call	library_status	suppress_biology	blocking_flags	n_blocking_flags	input_reads	avg_input_read_length	uniquely_mapped_reads	pct_uniquely_mapped	avg_mapped_length	pct_mismatch_rate	n_multi_loci	pct_multi_loci	n_too_many_loci	pct_too_many_loci	dominant_multimap_channel	multimap_channel_ratio	pct_unmapped_too_short	pct_unmapped_other	bias_5p3p	bias_5p	bias_3p	pct_exonic	pct_intronic	pct_intergenic	reads_aligned_to_genes	secondary_alignments	non_unique_alignments	pct_duplication	dupradar_intercept	pct_proper_pairs	samtools_error_rate	pct_gc	pct_adapter_trimmed	tech_flags	tech_verdict	star_log_found	qualimap_found	multiqc_found	n_splices_total	pct_unmapped_mismatches	pct_chimeric	reads_aligned_left	read_pairs_aligned	total_alignments	ambiguous_alignments	no_feature_assigned	n_exonic	n_intronic	n_intergenic	pct_overlapping_exon	n_overlapping_exon	reads_at_junctions	pct_reads_mq0	non_primary_alignments	raw_total_sequences	mqc_star_multimapped	mqc_pct_uniquely_mapped	mqc_bias_5p3p	library_total_counts	moe_panel_max_cpm	vno_panel_max_cpm	tissue_floor_cpm	tissue_reason	Trpc2_cpm	Vmn1r_sum_cpm	Vmn2r_sum_cpm	Olfr_sum_cpm	Adcy3_cpm	Cnga2_cpm	Gnal_cpm	Omp_cpm	Gnai2_cpm	Gnao1_cpm	Actb_cpm	Actg1_cpm	Acta1_cpm	Acta2_cpm	Actc1_cpm	Actg2_cpm	actin_sum_cpm	Trpc2_reads	Gnai2_reads	Gnao1_reads	trpc2_exact_zero	gnai2_gnao1_ratio	gnai2_gnao1_ratio_str	ratio_low_support	ratio_support_reads	sort_reason	population_note	library_reason	Vmn1r_n_genes	Vmn2r_n_genes	Olfr_n_genes
trial1	pool100cells_S8	target	100	suspect_failed_prep	Illumina	UNUSABLE	MOE	FAIL_WRONG_TISSUE	undetermined	DEGENERATE	True	WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	6	20572358.0	143.0	1203099.0	5.85	123.85	1.39	342433.0	1.66	62045.0	0.3	multiple_loci_retained	5.533333333333333	92.06	0.13		0.0	0.0	4.04	51.68	44.28	97075.0	2476857.0	3160425.0	75.8954	0.148373182412936	11.127861370374822	1.479735	46.0	5.845683091282826	low_unique_mapping(5.85<50);high_unmapped_short(92.06>40);low_exonic(4.04<40);high_intergenic(44.28>30)	FAIL	True	True	True	409160.0	0.0	0.0	1545503.0	1543694.0	5566083.0	1106.0	2307477.0	97075.0	1242641.0	1064836.0	1.08	25974.0	409160.0	6.0366900964837145	2.476857	3.089226	0.342433	5.85		60744.001999999986	48729.09098086755	0.0	100.0	MAIN OLFACTORY panel 48729.1 CPM at/above floor with VNO-specific panel 0.0 below it -- wrong tissue	0.0	0.0	0.0	48729.09098086755	16.46253073677958	0.0	16.46253073677958	32.92506147355916	0.0	0.0	8583.547063626136	3530.076928418382	26907.858326489593	530.1428773165129	246.7568732135891	82.31265368389789	39880.69472274811	0.0	0.0	0.0	True		undetermined	True	0.0	tissue identity is MOE: the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. Trpc2 = 0.00 CPM here is the EXPECTED value for main olfactory epithelium, so Rule 1 does not apply -- this is not a failed VNO sort but the wrong tissue. Note Omp cannot distinguish the two tissues (it marks mature olfactory neurons of both). No VR biology is reportable; the fix is wet-lab (dissection / sort gate), NOT re-quantification.	both Gnai2 and Gnao1 are 0 CPM -- no population signal	only 60,744 counts assigned across all genes (< 1,000,000): CPM values are ratios of a near-empty library and carry no information, however large they look (actin sum reads 39,881 CPM here). Biology suppressed.	317	220	1257
trial1	pool2cellsRep1_S5	target	2	suspect_degraded	Illumina	UNUSABLE	no_tissue_signal	FAIL	undetermined	OK	False	no_tissue_signal;sort_validation_FAIL;population_undetermined;prep_suspect_degraded;low_unique_mapping(36.3<50);warn_bias_5p_skew(548.06>2)	5	23792356.0	144.0	8636629.0	36.3	141.39	0.3	8648052.0	36.35	57485.0	0.24	multiple_loci_retained	151.45833333333334	26.96	0.15	548.06	0.0	0.0	83.98	7.51	8.51	14349260.0	20567814.0	37858868.0	89.1692	0.16069815493444	4.882503587315331	0.3012901	42.0	5.624813454202709	low_unique_mapping(36.3<50);bias_5p_skew(548.06>2)	FAIL	True	True	True	2625181.0	0.0	0.0	17282482.0	17277869.0	55130364.0	183987.0	2738249.0	14349260.0	1283861.0	1454388.0	1.9	324344.0	2625181.0	0.7928639524572116	20.567814	34.56255	8.648052	36.3	548.06	14584009.99600001	0.8228189642828871	5.142618526768044	100.0	both panels below the 100 CPM floor (MOE max 0.8, VNO-specific max 5.1): this library carries no tissue information either way -- not evidence of the wrong tissue	0.0	0.13713649404714784	5.142618526768044	0.8228189642828871	0.0	0.06856824702357392	0.0	0.06856824702357392	0.0	0.0	917.3743026554073	0.13713649404714784	0.0	0.06856824702357392	0.0	0.0	917.580007396478	0.0	0.0	0.0	True		undetermined	True	0.0	target Trpc2 0.00 CPM <= 100; no VNO-neuron signal	both Gnai2 and Gnao1 are 0 CPM -- no population signal	actin sum 917.6 CPM >= 100	317	220	1257
trial1	pool2cellsRep2_S6	target	2	borderline	Illumina	UNUSABLE	MOE	FAIL_WRONG_TISSUE	V2R_dominant	FAILED	True	WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_FAILED;prep_borderline;warn_bias_5p_skew(7.49>2)	4	31870881.0	145.0	22943740.0	71.99	140.48	0.39	4430783.0	13.9	63732.0	0.2	multiple_loci_retained	69.5	13.16	0.75	7.49	0.0	0.01	45.08	29.57	25.35	20494153.0	17683149.0	26541956.0	61.795	0.25213023673923	26.83597002578398	0.44796769999999997	48.5	4.561310052900124	bias_5p_skew(7.49>2)	WARN	True	True	True	4356103.0	0.0	0.0	27373514.0	27364439.0	72422111.0	417269.0	24968733.0	20494153.0	13443179.0	11525554.0	2.72	1235059.0	4356103.0	1.3397513822056033	17.683149	54.738962	4.430783	71.99	7.49	13789654.001000006	319.58742399776025	2.24806220647392	100.0	MAIN OLFACTORY panel 319.6 CPM at/above floor with VNO-specific panel 2.2 below it -- wrong tissue	0.0	2.24806220647392	1.232808306776021	67.29682992283222	0.14503627138541425	0.0	319.58742399776025	863.6909961001418	0.14503627138541425	2.1030259350885063	0.3625906784635356	7.831958654812368	0.07251813569270713	0.0	0.0	0.0	8.26706746896861	0.0	2.0	29.0	True	0.06896551724137932	0.1:1	False	29.0	tissue identity is MOE: the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. Trpc2 = 0.00 CPM here is the EXPECTED value for main olfactory epithelium, so Rule 1 does not apply -- this is not a failed VNO sort but the wrong tissue. Note Omp cannot distinguish the two tissues (it marks mature olfactory neurons of both). No VR biology is reportable; the fix is wet-lab (dissection / sort gate), NOT re-quantification.	Gnai2:Gnao1 = 0.07 (thresholds >2 V1R, <0.5 V2R)	target sample with actin sum 8.3 CPM < 100 AND Trpc2 0.00 CPM < 10: empty/failed library, no biology may be reported	317	220	1257
trial1	pool2cellsRep3_S7	target	2	ok	Illumina	UNUSABLE	MOE	FAIL_WRONG_TISSUE	V2R_dominant	OK	True	WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;low_unique_mapping(43.05<50);warn_high_unmapped_short(52.46>40)	3	24964994.0	149.0	10746462.0	43.05	148.02	0.29	1058207.0	4.24	7789.0	0.03	multiple_loci_retained	141.33333333333334	52.46	0.23	1.24	0.66	0.62	71.91	21.24	6.84	15124229.0	3383933.0	5499899.0	37.9934	0.0886737383259091	50.918250432758086	0.37365950000000003	47.0	2.151692378903884	low_unique_mapping(43.05<50);high_unmapped_short(52.46>40)	FAIL	True	True	True	3882251.0	0.0	0.0	11804352.0	11800495.0	26989097.0	457428.0	5907541.0	15124229.0	4468095.0	1439446.0	2.18	458835.0	3882251.0	0.6704338084666558	3.383933	23.605164	1.058207	43.05	1.24	8584543.005000012	4276.7951629592835	0.11648843734809837	100.0	MAIN OLFACTORY panel 4276.8 CPM at/above floor with VNO-specific panel 0.1 below it -- wrong tissue	0.0	0.11648843734809837	0.0	1112.8140419863835	2374.5014717880103	585.3543976741943	4276.7951629592835	4027.587721310501	0.0	58.71017242344158	215.4236980259612	455.37054188244406	0.0	0.0	0.0	0.0	670.7942399084052	0.0	0.0	504.0	True	0.0	0.0:1	False	504.0	tissue identity is MOE: the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. Trpc2 = 0.00 CPM here is the EXPECTED value for main olfactory epithelium, so Rule 1 does not apply -- this is not a failed VNO sort but the wrong tissue. Note Omp cannot distinguish the two tissues (it marks mature olfactory neurons of both). No VR biology is reportable; the fix is wet-lab (dissection / sort gate), NOT re-quantification.	Gnai2:Gnao1 = 0.00 (thresholds >2 V1R, <0.5 V2R)	actin sum 670.8 CPM >= 100	317	220	1257
trial2	nontarget100cells_S8	nontarget	100	ok	Element AVITI	USABLE	no_tissue_signal	PASS	V1R_dominant	OK	False	warn_no_tissue_signal_expected_for_nontarget;warn_ratio_low_read_support	0	32198415.0	149.0	26018860.0	80.81	148.57	0.21	3688002.0	11.45	23380.0	0.07	multiple_loci_retained	163.57142857142856	7.51	0.15	1.12	0.74	0.66	83.82	13.47	2.71	42784461.0	10871960.0	18247541.0	50.4024	0.0745379588628524	38.72045828621814	0.2370689	50.0	1.9234690981833011		PASS	True	True	True	15177816.0	0.0	0.0	29706525.0	29704592.0	70283414.0	994219.0	8257193.0	42784461.0	6872881.0	1384312.0	2.2	1125431.0	15177816.0	0.6254147558819214	10.87196	59.411454	3.688002	80.81	1.12	25020072.01799997	33.55533906521152	0.23980746321127583	100.0	both panels below the 100 CPM floor (MOE max 33.6, VNO-specific max 0.2): this library carries no tissue information either way -- not evidence of the wrong tissue	0.23980746321127583	0.15987164214085056	0.0	3.796951500845201	0.0	0.0	33.55533906521152	0.03996791053521264	165.42714173733458	0.0	147.7674403710825	3259.4804260087444	0.07993582107042528	492.27556144279106	0.0	0.0	3899.6033636436887	6.0	4138.999	0.0	False	inf	infinity	True	0.0	nontarget Trpc2 0.24 CPM < 10	Gnao1 = 0 CPM; ratio reported as infinity (Gnai2 = 165.4 CPM). Not a division error -- V2R marker genuinely absent.	actin sum 3899.6 CPM >= 100	317	220	1257
trial2	target100cellsRep1_S6	target	100	ok	Element AVITI	USABLE	VNO_dominant_mixed	PASS	V1R_dominant	OK	False	warn_minor_MOE_component;warn_ratio_low_read_support	0	18128668.0	149.0	15980077.0	88.15	149.2	0.21	1979220.0	10.92	22158.0	0.12	multiple_loci_retained	91.0	0.69	0.12	1.17	0.75	0.66	85.58	9.39	5.03	26837805.0	6478264.0	10436379.0	31.2971	0.0814263464675022	54.08274501612153	0.23132589999999997	50.0	1.4607351883454367		PASS	True	True	True	9179956.0	0.0	0.0	17959029.0	17957935.0	42395496.0	599176.0	4522136.0	26837805.0	2944162.0	1577974.0	1.75	547574.0	9179956.0	0.8389148696091057	6.478263999999999	35.917232	1.97922	88.15	1.17	15348387.969000023	180.08405870262087	4736.21230756106	100.0	both panels above floor but VNO-specific 4736.2 CPM exceeds MOE 180.1 CPM by more than 3x: VNO with a real minor MOE component (sort-purity information, not a tissue failure)	1293.01227204338	4736.21230756106	0.06515342210659221	177.21730812993079	17.002632493202622	180.08405870262087	136.7506479663706	694.20971254574	192.78897601340634	0.4560739547461455	186.05321977576054	2405.793043189912	0.0	0.0	0.0	0.0	2591.846262965673	19845.654	2959.0	7.0	False	422.71428571428567	422.7:1	True	7.0	target Trpc2 1293.0 CPM > 1000	Gnai2:Gnao1 = 422.71 (thresholds >2 V1R, <0.5 V2R) -- LOW SUPPORT: only 7 raw Gnao1 reads, so the ratio magnitude is Poisson-unstable (+/-1 read shifts it by ~14%); the direction of the call is robust, the exact ratio is not.	actin sum 2591.8 CPM >= 100	317	220	1257
trial2	target100cellsRep2_S7	target	100	ok	Element AVITI	USABLE	VNO_dominant_mixed	PASS	V1R_dominant	OK	False	warn_minor_MOE_component	0	29644701.0	149.0	26838005.0	90.53	149.4	0.21	2533053.0	8.54	41055.0	0.14	multiple_loci_retained	60.999999999999986	0.66	0.13	1.18	0.76	0.65	86.2	9.01	4.8	45380208.0	9073051.0	14138840.0	36.3463	0.113279166109356	51.7994871197453	0.23504580000000003	50.0	1.3586764981396753		PASS	True	True	True	15773580.0	0.0	0.0	29370762.0	29368991.0	67813100.0	1027647.0	7266405.0	45380208.0	4741939.0	2524466.0	1.74	917634.0	15773580.0	0.8011586779575209	9.073051	58.740049	2.5330529999999998	90.53	1.18	25222173.953999925	283.6393093254939	6036.037824402377	100.0	both panels above floor but VNO-specific 6036.0 CPM exceeds MOE 283.6 CPM by more than 3x: VNO with a real minor MOE component (sort-purity information, not a tissue failure)	1476.0685208142352	6036.037824402377	19.94276944237118	68.66973493874131	119.21010478651338	283.6393093254939	153.8725411646969	322.85083810979825	192.44970750153024	16.96923511750359	88.29881215083807	2114.286425002751	1.7445760258513254	7.652869270984832	0.0	0.0	2211.9826824504253	37229.657	4854.0	428.001	False	11.341094997441598	11.3:1	False	428.001	target Trpc2 1476.1 CPM > 1000	Gnai2:Gnao1 = 11.34 (thresholds >2 V1R, <0.5 V2R)	actin sum 2212.0 CPM >= 100	317	220	1257
trial2	target2cellsRep1_S3	target	2	ok	Element AVITI	USABLE	VNO	PASS	V1R_dominant	OK	False	warn_ratio_low_read_support	0	20136590.0	149.0	17863653.0	88.71	148.85	0.23	1523894.0	7.57	14585.0	0.07	multiple_loci_retained	108.14285714285714	3.5	0.14	1.2	0.8	0.65	90.48	5.62	3.9	31574693.0	6294729.0	9342333.0	35.232200000000006	0.0468053725989018	52.03551010045583	0.2521479	51.0	1.6464785070101315		PASS	True	True	True	11280374.0	0.0	0.0	19387282.0	19385690.0	45067966.0	830543.0	3320397.0	31574693.0	1960416.0	1359981.0	1.61	560909.0	11280374.0	1.1851834810696873	6.294728999999999	38.773237	1.5238939999999999	88.71	1.2	17410598.004000004	0.057436281038150135	1029.1863608523527	100.0	VNO-specific panel 1029.2 CPM at/above floor with MOE panel 0.1 below it	1029.1863608523527	771.6371945933994	0.40205396726705095	0.057436281038150135	0.057436281038150135	0.0	0.057436281038150135	0.11487256207630027	3602.231237869662	0.0	38.66380694364114	897.759801036642	0.0	0.0	0.0	0.0	936.4236079802831	17918.75	62717.0	0.0	False	inf	infinity	True	0.0	target Trpc2 1029.2 CPM > 1000	Gnao1 = 0 CPM; ratio reported as infinity (Gnai2 = 3602.2 CPM). Not a division error -- V2R marker genuinely absent.	actin sum 936.4 CPM >= 100	317	220	1257
trial2	target2cellsRep2_S4	target	2	suspect_failed_prep	Element AVITI	UNUSABLE	VNO	FAIL	V1R_dominant	FAILED	True	sort_validation_FAIL;library_FAILED;warn_ratio_low_read_support;prep_suspect_failed_prep;low_unique_mapping(20.11<50);warn_high_unmapped_short(56.02>40);warn_bias_5p_skew(2.01>2)	4	32518368.0	146.0	6537959.0	20.11	145.61	0.24	7386399.0	22.71	37701.0	0.12	multiple_loci_retained	189.25	56.02	1.04	2.01	0.18	0.32	92.54	4.02	3.44	12018265.0	16478546.0	31247737.0	86.4246	0.0546823184209719	6.189046796366558	0.22334920000000003	47.0	3.7986876423783995	low_unique_mapping(20.11<50);high_unmapped_short(56.02>40);bias_5p_skew(2.01>2)	FAIL	True	True	True	2095499.0	0.0	0.0	13922721.0	13920238.0	44323142.0	88447.0	968693.0	12018265.0	522405.0	446288.0	1.67	217440.0	2095499.0	0.51668553567809	16.478545999999998	27.844596	7.386399	20.11	2.01	12550033.992000012	0.07968105908218635	501.5125061822218	100.0	VNO-specific panel 501.5 CPM at/above floor with MOE panel 0.1 below it	0.1593621181643727	501.5125061822218	0.07968105908218635	0.07968105908218635	0.0	0.0	0.0	0.0	0.07968105908218635	0.0	0.5577674135753045	0.3187242363287454	0.0	0.0	0.0	0.0	0.8764916499040498	2.0	1.0	0.0	False	inf	infinity	True	0.0	target Trpc2 0.16 CPM <= 100; no VNO-neuron signal	Gnao1 = 0 CPM; ratio reported as infinity (Gnai2 = 0.1 CPM). Not a division error -- V2R marker genuinely absent.	target sample with actin sum 0.9 CPM < 100 AND Trpc2 0.16 CPM < 10: empty/failed library, no biology may be reported	317	220	1257
trial2	target2cellsRep3_S5	target	2	suspect_failed_prep	Element AVITI	UNUSABLE	no_tissue_signal	FAIL	V1R_dominant	OK	False	no_tissue_signal;sort_validation_FAIL;warn_ratio_low_read_support;prep_suspect_failed_prep;low_unique_mapping(17.46<50);warn_high_unmapped_short(64.21>40);warn_bias_5p_skew(134.61>2)	4	25971612.0	146.0	4534095.0	17.46	144.04	0.24	4748262.0	18.28	4338.0	0.02	multiple_loci_retained	914.0	64.21	0.03	134.61	0.0	0.01	89.36	4.82	5.82	8083851.0	10322121.0	19816070.0	86.21	0.0331414771454748	6.087275577023358	0.2310424	47.0	3.7284004384348366	low_unique_mapping(17.46<50);high_unmapped_short(64.21>40);bias_5p_skew(134.61>2)	FAIL	True	True	True	826762.0	0.0	0.0	9281134.0	9279708.0	28884186.0	21621.0	962644.0	8083851.0	436239.0	526405.0	1.25	112731.0	826762.0	0.2740966589654761	10.322121	18.562065	4.7482619999999995	17.46	134.61	8162002.000000001	4.288163614760203	1.4702275250606405	100.0	both panels below the 100 CPM floor (MOE max 4.3, VNO-specific max 1.5): this library carries no tissue information either way -- not evidence of the wrong tissue	0.3675568812651601	1.4702275250606405	0.0	4.288163614760203	0.12251896042172004	0.0	0.0	0.0	0.3675568812651601	0.0	130.85024973039702	0.2450379208434401	0.12251896042172004	0.0	0.0	0.0	131.21780661166218	3.0	3.0	0.0	False	inf	infinity	True	0.0	target Trpc2 0.37 CPM <= 100; no VNO-neuron signal	Gnao1 = 0 CPM; ratio reported as infinity (Gnai2 = 0.4 CPM). Not a division error -- V2R marker genuinely absent.	actin sum 131.2 CPM >= 100	317	220	1257
