cluster_id	family	chrom	start	end	span_bp	n_genes	n_functional	n_pseudogenes	supercluster_id	member_gene_names	member_gene_ids
V1R_chr1_cl001	V1R	1	182157144	182158319	1176	1	1	0	V1R_chr1_sc001	Vmn1r1	ENSMUSG00000091013
V1R_chr2_cl002	V1R	2	174591230	174591802	573	1	0	1	V1R_chr2_sc002	Vmn1r-ps1	ENSMUSG00000082353
V1R_chr4_cl003	V1R	4	3103759	3185305	81547	3	2	1	V1R_chr4_sc003	Vmn1r-ps2,Vmn1r2,Vmn1r3	ENSMUSG00000081279,ENSMUSG00000094798,ENSMUSG00000095982
V1R_chr5_cl004	V1R	5	3000116	3001052	937	1	0	1	V1R_chr5_sc004	Vmn1r-ps5	ENSMUSG00000098947
V1R_chr6_cl005	V1R	6	3072137	3144554	72418	3	0	3	V1R_chr6_sc005	Vmn1r-ps5,Vmn1r-ps6,Vmn1r-ps7	ENSMUSG00000106974,ENSMUSG00000107380,ENSMUSG00000106893
V1R_chr6_cl006	V1R	6	56924022	57448208	524187	21	17	4	V1R_chr6_sc006	Vmn1r4,Vmn1r5,Vmn1r6,Vmn1r7,Vmn1r8,Vmn1r9,Vmn1r10,Vmn1r11,Vmn1r12,Vmn1r-ps8,Vmn1r13,Vmn1r14,Vmn1r15,Vmn1r-ps9,Vmn1r-ps10,Vmn1r16,Vmn1r17,Vmn1r18,Vmn1r19,Vmn1r20,Vmn1r-ps11	ENSMUSG00000071893,ENSMUSG00000090346,ENSMUSG00000058923,ENSMUSG00000093696,ENSMUSG00000061208,ENSMUSG00000091541,ENSMUSG00000093785,ENSMUSG00000093635,ENSMUSG00000057981,ENSMUSG00000093728,ENSMUSG00000064259,ENSMUSG00000093692,ENSMUSG00000058731,ENSMUSG00000093520,ENSMUSG00000093621,ENSMUSG00000093523,ENSMUSG00000093411,ENSMUSG00000091382,ENSMUSG00000068426,ENSMUSG00000093679,ENSMUSG00000093398
V1R_chr6_cl007	V1R	6	57843464	58504737	661274	21	11	10	V1R_chr6_sc006	Vmn1r21,Vmn1r-ps12,Vmn1r22,Vmn1r23,Vmn1r24,Vmn1r25,Vmn1r26,Vmn1r-ps14,Vmn1r-ps15,Vmn1r-ps17,Vmn1r-ps18,Vmn1r27,Vmn1r-ps19,Vmn1r28,Vmn1r29,Vmn1r-ps20,Vmn1r30,Vmn1r-ps21,Vmn1r31,Vmn1r-ps22,Vmn1r-ps23	ENSMUSG00000058588,ENSMUSG00000093530,ENSMUSG00000093501,ENSMUSG00000093376,ENSMUSG00000093451,ENSMUSG00000094206,ENSMUSG00000048697,ENSMUSG00000093382,ENSMUSG00000093666,ENSMUSG00000093743,ENSMUSG00000093731,ENSMUSG00000071428,ENSMUSG00000093522,ENSMUSG00000094291,ENSMUSG00000091734,ENSMUSG00000093702,ENSMUSG00000095670,ENSMUSG00000093461,ENSMUSG00000093379,ENSMUSG00000093518,ENSMUSG00000093588
V1R_chr6_cl008	V1R	6	66552183	66805443	253261	9	8	1	V1R_chr6_sc007	Vmn1r32,Vmn1r33,Vmn1r34,Vmn1r35,Vmn1r36,Vmn1r37,Vmn1r-ps24,Vmn1r38,Vmn1r39	ENSMUSG00000062905,ENSMUSG00000059375,ENSMUSG00000091012,ENSMUSG00000060699,ENSMUSG00000093764,ENSMUSG00000057612,ENSMUSG00000093504,ENSMUSG00000093632,ENSMUSG00000093755
V1R_chr6_cl009	V1R	6	89698719	90270053	571335	23	15	8	V1R_chr6_sc008	Vmn1r-ps25,Vmn1r40,Vmn1r41,Vmn1r-ps26,Vmn1r-ps27,Vmn1r42,Vmn1r43,Vmn1r44,Vmn1r-ps28,Vmn1r45,Vmn1r46,Vmn1r-ps29,Vmn1r47,Vmn1r48,Vmn1r-ps31,Vmn1r49,Vmn1r50,Vmn1r51,Vmn1r-ps32,Vmn1r52,Vmn1r53,Vmn1r-ps34,Vmn1r54	ENSMUSG00000100128,ENSMUSG00000096051,ENSMUSG00000094586,ENSMUSG00000092311,ENSMUSG00000092237,ENSMUSG00000068232,ENSMUSG00000068231,ENSMUSG00000068234,ENSMUSG00000092228,ENSMUSG00000044248,ENSMUSG00000061653,ENSMUSG00000092303,ENSMUSG00000060724,ENSMUSG00000057592,ENSMUSG00000092450,ENSMUSG00000095932,ENSMUSG00000094553,ENSMUSG00000062818,ENSMUSG00000061843,ENSMUSG00000060816,ENSMUSG00000057697,ENSMUSG00000099754,ENSMUSG00000047203
V1R_chr7_cl010	V1R	7	5146218	6011010	864793	14	11	3	V1R_chr7_sc009	Vmn1r55,Vmn1r56,Vmn1r57,Vmn1r58,Vmn1r59,Vmn1r60,Vmn1r-ps40,Vmn1r61,Vmn1r62,Vmn1r63,Vmn1r64,Vmn1r-ps45,Vmn1r-ps46,Vmn1r65	ENSMUSG00000074402,ENSMUSG00000091874,ENSMUSG00000091652,ENSMUSG00000078808,ENSMUSG00000074401,ENSMUSG00000090794,ENSMUSG00000092336,ENSMUSG00000094313,ENSMUSG00000092579,ENSMUSG00000058631,ENSMUSG00000058399,ENSMUSG00000092580,ENSMUSG00000092271,ENSMUSG00000066850
