# vr_quantify.py -- trial=trial2; CPM = count / (all-gene column sum of unscaled salmon.merged.gene_counts.tsv) * 1e6; cluster tier=200kb, supercluster tier=800kb; individual-paralog calls are tentative by construction
trial	scope	sample	cell_type	n_cells	cluster_id	family	supercluster_id	cluster_counts_sum	cluster_cpm_sum	top_gene_name	detected_gene_names	detected_fracs	interpretation_context	qc_overall	sort_verdict	suppress_biology	suppression_reason	biological_interpretation_permitted	k_members	k_detected	read_support	top_frac	second_frac	top_over_second	evenness	hill_effective_paralogs	chi2_uniform	p_uniform	power_vs_dominant	even_block_size	even_block_share	even_block_p_uniform	even_block_read_support	even_block_power	even_block_evenness	em_flag	em_flag_level	unique_channel_available	unique_background_floor	unique_support_threshold	block_unique_reads	n_block_members_unique_supported	block_unique_total	interpretation	unique_channel_used	n_pseudogene_members	n_functional_members	pseudogene_counts	pseudogene_cpm	pseudogene_share_of_cluster	pseudogene_bleed_flag	pseudogene_genes_detected	pseudogene_criteria_detected	pseudogene_criterion_conflicting	pseudogene_evidence_grades	pseudogene_mechanism	em_flag_note	expected_key	expected_clusters_lo	expected_clusters_hi	n_clusters_called	cluster_count_in_expected_range	sample_total_vr_cpm	nontarget_vr_cpm_max	dominant_cluster_id	dominant_cluster_share	expected_pattern_flags
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr13_cl020	V1R	V1R_chr13_sc015	1.0	0.039967910535212585	Vmn1r223	Vmn1r223	1.000	pooled_ambiguous	USABLE	PASS	False		True	64.0	1.0	1.0	1.0			0.0	1.0				0.0						insufficient_signal	none	1.0						only 1 reads in this cluster (< 20); too few to distinguish any within-cluster pattern from sampling noise	unique_reads_bam_nodup	31.0	33.0	0.0	0.0	0.0	no_apparent_pseudogene_expression			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr17_cl021	V1R	V1R_chr17_sc016	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	24.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	11.0	13.0	0.0	0.0		no_apparent_pseudogene_expression			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr18_cl022	V1R	V1R_chr18_sc017	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	3.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	2.0	1.0	0.0	0.0		no_apparent_pseudogene_expression			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr1_cl001	V1R	V1R_chr1_sc001	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	1.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	0.0	1.0	0.0	0.0		no_pseudogene_members			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr2_cl002	V1R	V1R_chr2_sc002	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	1.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	1.0	0.0	0.0	0.0		pseudogene_only_cluster			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr4_cl003	V1R	V1R_chr4_sc003	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	3.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	1.0	2.0	0.0	0.0		no_apparent_pseudogene_expression			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr5_cl004	V1R	V1R_chr5_sc004	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	1.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	1.0	0.0	0.0	0.0		pseudogene_only_cluster			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr6_cl005	V1R	V1R_chr6_sc005	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	3.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	3.0	0.0	0.0	0.0		pseudogene_only_cluster			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr6_cl006	V1R	V1R_chr6_sc006	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	21.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	4.0	17.0	0.0	0.0		no_apparent_pseudogene_expression			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr6_cl007	V1R	V1R_chr6_sc006	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	21.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	10.0	11.0	0.0	0.0		no_apparent_pseudogene_expression			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr6_cl008	V1R	V1R_chr6_sc007	2.0	0.07993582107042517	Vmn1r35	Vmn1r35,Vmn1r37	0.500,0.500	pooled_ambiguous	USABLE	PASS	False		True	9.0	2.0	2.0	0.5	0.5	1.0	1.0	2.0				0.0						insufficient_signal	none	1.0						only 2 reads in this cluster (< 20); too few to distinguish any within-cluster pattern from sampling noise	unique_reads_bam_nodup	1.0	8.0	0.0	0.0	0.0	no_apparent_pseudogene_expression			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr6_cl009	V1R	V1R_chr6_sc008	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	23.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	8.0	15.0	0.0	0.0		no_apparent_pseudogene_expression			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr7_cl010	V1R	V1R_chr7_sc009	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	14.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	3.0	11.0	0.0	0.0		no_apparent_pseudogene_expression			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr7_cl011	V1R	V1R_chr7_sc010	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	12.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	6.0	6.0	0.0	0.0		no_apparent_pseudogene_expression			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr7_cl012	V1R	V1R_chr7_sc011	0.0	0.0				pooled_ambiguous	USABLE	PASS	False		True	29.0	0.0	0.0									0.0						no_signal	none	1.0						no VR signal in this cluster for this sample; no redistribution question arises	unique_reads_bam_nodup	16.0	13.0	0.0	0.0		no_apparent_pseudogene_expression			0.0													
trial2	cluster	nontarget100cells_S8	nontarget	100	V1R_chr7_cl013	V1R	V1R_chr7_sc011	1.0	0.039967910535212585	Vmn1r87	Vmn1r87	1.000	pooled_ambiguous	USABLE	PASS	False		True	6.0	1.0	1.0	1.0			0.0	1.0				0.0						insufficient_signal	none	1.0						only 1 reads in this cluster (< 20); too few to distinguish any within-cluster pattern from sampling noise	unique_reads_bam_nodup	1.0	5.0	0.0	0.0	0.0	no_apparent_pseudogene_expression			0.0													
