gene_id	gene_name	family	chrom	start	end	strand	is_pseudogene	cluster_id	cluster_n_genes	cluster_rank_in_cluster	supercluster_id	is_primary_assembly
ENSMUSG00000091013	Vmn1r1	V1R	1	182157144	182158319	-	0	V1R_chr1_cl001	1	1	V1R_chr1_sc001	1
ENSMUSG00000082353	Vmn1r-ps1	V1R	2	174591230	174591802	+	1	V1R_chr2_cl002	1	1	V1R_chr2_sc002	1
ENSMUSG00000081279	Vmn1r-ps2	V1R	4	3103759	3104592	-	1	V1R_chr4_cl003	3	1	V1R_chr4_sc003	1
ENSMUSG00000094798	Vmn1r2	V1R	4	3172083	3173006	+	0	V1R_chr4_cl003	3	2	V1R_chr4_sc003	1
ENSMUSG00000095982	Vmn1r3	V1R	4	3184382	3185305	-	0	V1R_chr4_cl003	3	3	V1R_chr4_sc003	1
ENSMUSG00000098947	Vmn1r-ps5	V1R	5	3000116	3001052	-	1	V1R_chr5_cl004	1	1	V1R_chr5_sc004	1
ENSMUSG00000106974	Vmn1r-ps5	V1R	6	3072137	3073067	-	1	V1R_chr6_cl005	3	1	V1R_chr6_sc005	1
ENSMUSG00000107380	Vmn1r-ps6	V1R	6	3107477	3112864	-	1	V1R_chr6_cl005	3	2	V1R_chr6_sc005	1
ENSMUSG00000106893	Vmn1r-ps7	V1R	6	3143627	3144554	-	1	V1R_chr6_cl005	3	3	V1R_chr6_sc005	1
ENSMUSG00000071893	Vmn1r4	V1R	6	56924022	56958100	+	0	V1R_chr6_cl006	21	1	V1R_chr6_sc006	1
ENSMUSG00000090346	Vmn1r5	V1R	6	56985295	56986350	+	0	V1R_chr6_cl006	21	2	V1R_chr6_sc006	1
ENSMUSG00000058923	Vmn1r6	V1R	6	57002300	57003363	+	0	V1R_chr6_cl006	21	3	V1R_chr6_sc006	1
ENSMUSG00000093696	Vmn1r7	V1R	6	57024106	57025324	-	0	V1R_chr6_cl006	21	4	V1R_chr6_sc006	1
ENSMUSG00000061208	Vmn1r8	V1R	6	57035913	57037125	+	0	V1R_chr6_cl006	21	5	V1R_chr6_sc006	1
ENSMUSG00000091541	Vmn1r9	V1R	6	57070895	57071945	+	0	V1R_chr6_cl006	21	6	V1R_chr6_sc006	1
ENSMUSG00000093785	Vmn1r10	V1R	6	57113396	57114367	+	0	V1R_chr6_cl006	21	7	V1R_chr6_sc006	1
ENSMUSG00000093635	Vmn1r11	V1R	6	57137299	57138325	+	0	V1R_chr6_cl006	21	8	V1R_chr6_sc006	1
ENSMUSG00000057981	Vmn1r12	V1R	6	57158920	57159854	+	0	V1R_chr6_cl006	21	9	V1R_chr6_sc006	1
ENSMUSG00000093728	Vmn1r-ps8	V1R	6	57188507	57189344	+	1	V1R_chr6_cl006	21	10	V1R_chr6_sc006	1
ENSMUSG00000064259	Vmn1r13	V1R	6	57209858	57210760	+	0	V1R_chr6_cl006	21	11	V1R_chr6_sc006	1
ENSMUSG00000093692	Vmn1r14	V1R	6	57232843	57234371	+	0	V1R_chr6_cl006	21	12	V1R_chr6_sc006	1
ENSMUSG00000058731	Vmn1r15	V1R	6	57258149	57259048	+	0	V1R_chr6_cl006	21	13	V1R_chr6_sc006	1
