gene_id	gene_name	chrom	start	end	strand	gene_biotype	n_transcripts	n_exons	family	is_pseudogene	pseudogene_criterion	span_source	exon_span_start	exon_span_end	span_agrees_tx_vs_exon	supercluster_id	is_primary_assembly
ENSMUSG00000091013	Vmn1r1	1	182157144	182158319	-	protein_coding	1	1	V1R	0	none	transcript	182157144	182158319	1	V1R_chr1_sc001	1
ENSMUSG00000082353	Vmn1r-ps1	2	174591230	174591802	+	processed_pseudogene	1	1	V1R	1	biotype+name	transcript	174591230	174591802	1	V1R_chr2_sc002	1
ENSMUSG00000081279	Vmn1r-ps2	4	3103759	3104592	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	3103759	3104592	1	V1R_chr4_sc003	1
ENSMUSG00000094798	Vmn1r2	4	3172083	3173006	+	protein_coding	1	1	V1R	0	none	transcript	3172083	3173006	1	V1R_chr4_sc003	1
ENSMUSG00000095982	Vmn1r3	4	3184382	3185305	-	protein_coding	1	1	V1R	0	none	transcript	3184382	3185305	1	V1R_chr4_sc003	1
ENSMUSG00000098947	Vmn1r-ps5	5	3000116	3001052	-	processed_pseudogene	1	1	V1R	1	biotype+name	transcript	3000116	3001052	1	V1R_chr5_sc004	1
ENSMUSG00000106974	Vmn1r-ps5	6	3072137	3073067	-	processed_pseudogene	1	1	V1R	1	biotype+name	transcript	3072137	3073067	1	V1R_chr6_sc005	1
ENSMUSG00000107380	Vmn1r-ps6	6	3107477	3112864	-	transcribed_processed_pseudogene	2	3	V1R	1	biotype+name	transcript	3107477	3112864	1	V1R_chr6_sc005	1
ENSMUSG00000106893	Vmn1r-ps7	6	3143627	3144554	-	processed_pseudogene	1	1	V1R	1	biotype+name	transcript	3143627	3144554	1	V1R_chr6_sc005	1
ENSMUSG00000071893	Vmn1r4	6	56924022	56958100	+	protein_coding	2	6	V1R	0	none	transcript	56924022	56958100	1	V1R_chr6_sc006	1
ENSMUSG00000090346	Vmn1r5	6	56985295	56986350	+	protein_coding	1	1	V1R	0	none	transcript	56985295	56986350	1	V1R_chr6_sc006	1
ENSMUSG00000058923	Vmn1r6	6	57002300	57003363	+	protein_coding	1	1	V1R	0	none	transcript	57002300	57003363	1	V1R_chr6_sc006	1
ENSMUSG00000093696	Vmn1r7	6	57024106	57025324	-	protein_coding	1	1	V1R	0	none	transcript	57024106	57025324	1	V1R_chr6_sc006	1
