check_id	expectation	verdict	observed
ref_gene_counts	VR reference reconciles: 541 genes / 319 V1R / 222 V2R / 538 primary	PASS	541 VR genes (319 V1R, 222 V2R), primary_assembly=538
nontarget_trpc2	nontarget100cells_S8 Trpc2 = 0.24 CPM	PASS	Trpc2 = 0.23980746321127583 CPM (expect 0.24 +/- 0.02)
nontarget_vr_purity	nontarget VR signal far below the 100 CPM purity ceiling	PASS	Vmn1r 0.15987164214085056 + Vmn2r 0.0 = 0.160 CPM (purity ceiling 100 CPM)
target_trpc2_range	target Trpc2 in 1029-1476 CPM	PASS	target100cellsRep1_S6=1293.01227204338; target100cellsRep2_S7=1476.0685208142352; target2cellsRep1_S3=1029.1863608523527 (expect 1029-1476)
target_sort_pass	sort validation PASSes for the three clean targets	PASS	{'target100cellsRep1_S6': 'PASS', 'target100cellsRep2_S7': 'PASS', 'target2cellsRep1_S3': 'PASS'}
population_v1r	population call is V1R-dominant in all three targets	PASS	{'target100cellsRep1_S6': 'V1R_dominant', 'target100cellsRep2_S7': 'V1R_dominant', 'target2cellsRep1_S3': 'V1R_dominant'}
trial1_moe	all four trial-1 libraries called MOE / no VNO tissue signal	PASS	3/4 MOE-called; {'pool100cells_S8': 'MOE', 'pool2cellsRep1_S5': 'no_tissue_signal', 'pool2cellsRep2_S6': 'MOE', 'pool2cellsRep3_S7': 'MOE'}
trial1_no_biology	no trial-1 library reports any tier (all stop at the tissue gate)	PASS	highest_tier_reported={'pool100cells_S8': '-1', 'pool2cellsRep1_S5': '-1', 'pool2cellsRep2_S6': '-1', 'pool2cellsRep3_S7': '-1'} (expect all -1 = nothing reported), stopped_at_tier={'pool100cells_S8': '0', 'pool2cellsRep1_S5': '0', 'pool2cellsRep2_S6': '0', 'pool2cellsRep3_S7': '0'} (expect all 0 = tissue gate)
moe_cleanest_sample	briefing's 'cleanest 2-cell sample' is a mature MOE neuron	PASS	Trpc2_cpm=0.0; Adcy3_cpm=2374.5014717880103; Cnga2_cpm=585.3543976741943; Gnal_cpm=4276.7951629592835; Olfr_sum_cpm=1112.8140419863835
tier4_samples	exactly three libraries reach tier 4	PASS	tier-4 samples: ['target100cellsRep1_S6', 'target100cellsRep2_S7', 'target2cellsRep1_S3']
failed_lib_no_call	target2cellsRep2_S4: 501.5 CPM Vmn1r yields zero receptor statements	PASS	Vmn1r 501.5125061822218 CPM, actin 0.8764916499040498, Trpc2 0.1593621181643727, highest_tier_reported=0 (tier 0 = VNO tissue confirmed), stopped_at_tier=1 (sort validation), candidate rows=0
single_em_flag	exactly one suspected_em_redistribution flag, on target2cellsRep1_S3 / V1R_chr7_cl016	PASS	suspected_em_redistribution rows: [('trial2', 'target2cellsRep1_S3', 'V1R_chr7_cl016', 'cluster')]
em_flag_evidence	that flag's block statistics reproduce (cluster p at the permutation floor, block p high by design)	PASS	even_block_size=2, block read support=8962, members clearing unique gate=1; cluster p_uniform=2.4994e-04 (at the permutation floor 1/4001 -- quote as a bound, cluster is NOT uniform); block p_uniform=0.860 (HIGH by design: the 2-member block IS an even split), block power=1.00
em_flag_asymmetry	one of the two co-dominant paralogs has zero unique reads	PASS	Vmn1r138: frac=0.498 unique_nodup=0; Vmn1r166: frac=0.500 unique_nodup=51
chr7_supercluster	V1R_chr7_sc013 = 99.91% of target2cellsRep1_S3 VR signal	PASS	V1R_chr7_sc013 = 99.91% of sample VR (expect 99.91%)
chr7_subcluster_split	within it, 66.8% cl016 / 33.1% cl015	PASS	V1R_chr7_cl016=66.76% (expect 66.8%); V1R_chr7_cl015=33.14% (expect 33.1%)
cl015_contradiction	V1R_chr7_cl015 yields no unflagged individual call	PASS	3 candidate rows for V1R_chr7_cl015 (genes=['Vmn1r-ps75', 'Vmn1r103', 'Vmn1r104'], contradiction=['EM_UNIQUE_CONTRADICTION: unique reads rank Vmn1r103 first (EM fraction 0.0000) while the EM-dominant paralog Vmn1r131 (EM fraction 0.999) carries 0 unique reads. The two evidence channels name different genes; neither identifies the expressed receptor in this cluster.']) -- expect either no call or an explicit contradiction flag
candidates_tentative	every candidate row is tentative_unconfirmed	PASS	26 candidate rows, statuses=['tentative_unconfirmed']
pseudogene_bleed	Vmn1r-ps150 holds ~38% of V1R_chr17_cl021 on a redistribution-clean cluster	PASS	Vmn1r-ps150 = 38.0% of cluster, 3655 unique reads, cluster em_flag='no_redistribution_signature' (clean on the redistribution test)
retracted_cl013	V1R_chr7_cl013 in target100cellsRep2_S7 is NOT flagged as an EM artifact	PASS	em_flag=no_redistribution_signature, even_block_size=0, unique reads={'Vmn1r87': 32301, 'Vmn1r89': 35153} -- co-expression, not an EM artifact
multimap_channel	retained multi-loci channel dominates the discarded too-many-loci channel	PASS	retained multi-loci 1.66-36.35% vs too-many-loci 0.02-0.30%; retained > discarded in 10/10 libraries
unique_floor_uniformity	V1R_chr7_cl015 background floor is a flat 2 unique reads across 26 non-overlapping members	PASS	26/37 cl015 members sit at exactly 2 unique reads, median=2.0, none of the spans overlap another VR gene -> gate threshold max(10, 3*median)=10
read_length_convention	per-mate read length is ~75-76bp (STAR field is both mates summed)	PASS	STAR avg_input_read_length 143-149 (BOTH mates summed) -> per-mate mean ~72-74bp, which sits just under the 76bp nominal because STAR averages over post-trimming reads; direct BAM measurement gives a MODAL 76bp per mate (74-76 spread). 2x75bp protocol confirmed; 2x150bp is a real doubling.
usable_libraries	exactly four libraries clear the QC gate	PASS	cleared libraries: ['nontarget100cells_S8', 'target100cellsRep1_S6', 'target100cellsRep2_S7', 'target2cellsRep1_S3']
