claim_id	briefing_section	claim_as_written	pipeline_result	verdict	delta_cause	evidence_source
S9-01	9 sort validation	Trpc2 is 1029-1476 CPM in GFP+ target libraries	target100cellsRep1_S6 1293.0, target100cellsRep2_S7 1476.1, target2cellsRep1_S3 1029.2 CPM	AGREE	-- (exact reproduction; the CPM convention was pinned to the unscaled salmon.merged.gene_counts table with an all-gene column-sum denominator specifically to reproduce these values)	results/sample_qc_all.tsv:Trpc2_cpm
S9-02	9 sort validation	Trpc2 is near-zero in the GFP- nontarget library	nontarget100cells_S8 = 0.240 CPM from 6 raw reads	AGREE	--	results/sample_qc_all.tsv:Trpc2_cpm,Trpc2_reads
S9-03	9 sort validation	~5000-fold Trpc2 enrichment in target over nontarget	reproduced: 1293.0/0.240 = 5,392x for target100cellsRep1_S6, 1476.1/0.240 = 6,155x for target100cellsRep2_S7, and 1029.2/0.240 = 4,292x for target2cellsRep1_S3 -- bracketing the briefing's ~5000x. But the denominator is SIX raw reads, so the fold-change is a 6-read Poisson draw	AGREE	The NUMBER agrees and is not a delta -- recording that explicitly because the figure was flagged for scrutiny and it survived it. What the pipeline adds is that the quantity should not be quoted as a fold-change at all: with 6 reads in the denominator, the 95% Poisson interval on that count alone spans roughly 2-13 reads, i.e. a fold anywhere from ~2,400x to ~16,000x. The DIRECTION (target >> nontarget) is unambiguous and is what the sort gate tests; the magnitude is a ratio of a large number to a near-zero one. Report the two CPMs, not their quotient.	results/sample_qc_all.tsv:Trpc2_cpm,Trpc2_reads
S9-04	9 population ID	Gnai2:Gnao1 = 385:1 in target100cellsRep1_S6, indicating a V1R population	422.7:1 (ratio_low_support=True, supported by 7 raw Gnao1 reads)	DIFFER	Normalisation/denominator, not thresholding: this is the SAME measurement re-expressed. Gnao1 = 7 reads is the entire denominator, so the ratio is one Poisson draw from a 7-read count; 385:1 and 422.7:1 differ by less than the sampling error of that single count (one read either way moves it by ~15%). The pipeline flags this with ratio_low_support=True and the config sets ratio_min_support_reads=10 precisely so the MAGNITUDE is not quoted. The population CALL (V1R_dominant) is unaffected.	results/sample_qc_all.tsv:gnai2_gnao1_ratio,Gnao1_reads,ratio_low_support
S9-05	9 population ID	V1R-dominant population in the GFP+ targets	V1R_dominant in all three clean targets. Only target100cellsRep2_S7 has a well-supported ratio (11.3:1 on 428 Gnao1 reads, ratio_low_support=False); the other two rest on 0-7 Gnao1 reads and are directionally right but numerically unstable	AGREE	-- direction agrees; the pipeline adds the support qualifier the briefing does not carry	results/sample_qc_all.tsv:population_call,gnai2_gnao1_ratio,Gnao1_reads
S9-06	9 dominant cluster	target2cellsRep1_S3 expresses V1R chr7 cluster 039 at 99.9% of its VR signal	reproduced at the 800kb supercluster tier: V1R_chr7_sc013 = 99.91% of the sample's VR signal. At the 200kb cluster tier the same signal resolves into 66.8% V1R_chr7_cl016 + 33.1% V1R_chr7_cl015	REFRAMED	Cluster definition. The 99.9% figure is correct at ONE tier and misleading at the other. A 217,366bp gap between Vmn1r132 and Vmn1r135 exceeds the 200kb cluster rule by 17kb, splitting the briefing's 'cluster 039' in two; the 800kb supercluster tier reunites them. Both tiers must be reported for this region.	results/trial2/vr_cluster_expression.tsv (tier=cluster and tier=supercluster)
S9-07	9 cluster labels	cluster labels cl039 (V1R chr7, 60 paralogs) and cl029 (V1R chr6, Vmn1r32-39)	not reproducible as ordinals; membership maps exactly. 'V1R chr7 cluster 039' = V1R_chr7_cl015 + V1R_chr7_cl016 (supercluster V1R_chr7_sc013); 'V1R chr6 cl029 (Vmn1r32-39)' = V1R_chr6_cl008, 9 genes	SUPERSEDED	Cluster definition. The old labels were ordinals from a different numbering pass and cannot be regenerated; they are retained as ALIASES only. Any reference to cl039/cl029 must be resolved through the membership map, not the number.	ref/vr_clusters.tsv, ref/vr_gene_to_cluster.tsv
S9-08	9 sort purity	4 total VR reads out of 59M in the nontarget library	4 VR genes each carry exactly 1 assigned count in nontarget100cells_S8 (Vmn1r35 (1), Vmn1r37 (1), Vmn1r87 (1), Vmn1r223 (1)), totalling 0.160 CPM. The library's STAR input is 32.2M read pairs, not 59M	DIFFER	The COUNT of 4 is confirmed but its unit and denominator are not. 4 is the number of VR GENES with a nonzero Salmon count (1 count each), not the number of reads; and the denominator is 32.2M input read pairs for this library. 59M is neither this library's read count nor the trial total for a single library, so the briefing figure appears to mix a per-gene tally with a cross-library read total. Either way the conclusion -- the sort is clean -- holds: 0.160 CPM is ~625x below the 100 CPM purity ceiling.	results/trial2/vr_within_cluster_fractions.tsv, results/sample_qc_all.tsv:input_reads
S9-09	9 multi-mapping caveat	per-gene VR counts within a cluster are not trustworthy; paralogs at near-equal fractions mean one paralog was expressed and EM split the reads	confirmed and made testable. Exactly one instance across both trials: target2cellsRep1_S3 / V1R_chr7_cl016, Vmn1r166 0.500 vs Vmn1r138 0.498 of the cluster, with deduplicated unique MAPQ255 reads of 51 vs 0	AGREE	-- with an important refinement the briefing does not state: an even split is NECESSARY BUT NOT SUFFICIENT for an EM artifact. The unique-read gate separates redistribution (one member has unique support) from genuine co-expression across a multi-cell pool (two or more members do). Without that gate the even-fractions heuristic alone produces false positives -- see R-01.	results/trial2/vr_artifact_flags.tsv:em_flag, results/trial2/vr_within_cluster_fractions.tsv
S9-10	9 multi-mapping caveat	(implicit) an EM-artifact call identifies which paralog is the true source	the CALL and the ATTRIBUTION have different strengths. Block read support 8962; the call that redistribution occurred rests on a paralog holding 4473 EM counts with ZERO unique reads, which is solid. WHICH paralog is the source rests on 51 unique reads = 1.1% of Vmn1r166's apparent expression. confirmation_status=tentative_unconfirmed	REFRAMED	Evidence asymmetry, not a numeric delta. The briefing treats the artifact call and the receptor identification as one statement; the pipeline splits them because their evidence differs by two orders of magnitude.	results/trial2/vr_artifact_flags.tsv, results/trial2/vr_candidates.tsv
S9-11	9 pseudogene bleed	pseudogenes inside functional clusters appear 'expressed' via bleed-through	the observation reproduces -- Vmn1r-ps150 holds 38.0% of V1R_chr17_cl021 in target100cellsRep1_S6 -- but the MECHANISM is unresolved. That pseudogene carries 3655 unique MAPQ255 reads and the cluster is CLEAN on the redistribution test (em_flag=no_redistribution_signature), so an even-split EM artifact does not explain it	REFRAMED	Not a numeric delta: the word 'bleed-through' asserts a mechanism the data cannot support here. Two candidates remain open -- (a) EM leakage from an expressed functional paralog, (b) genuine transcription of the pseudogene locus via cluster-shared regulatory elements. Dietschi 2022 is NOT a quantitative mouse prior for this: their pseudogene result was significant in rat (P=0.003) but NOT in mouse (W=1214, P=0.5704), and the mechanism they propose is regulatory, not multi-mapping.	results/trial2/vr_artifact_flags.tsv:pseudogene_bleed_flag,pseudogene_mechanism
