# vr_quantify.py -- trial=trial2; CPM = count / (all-gene column sum of unscaled salmon.merged.gene_counts.tsv) * 1e6; cluster tier=200kb, supercluster tier=800kb; individual-paralog calls are tentative by construction
trial	sample	cluster_id	supercluster_id	family	is_dominant_cluster	cluster_share_of_vr	cluster_cpm	rank	gene_id	gene_name	candidate_list	n_candidates_reported	evidence_type	unique_reads_bam	unique_reads_bam_nodup	unique_reads_salmon_tx	unique_share_of_cluster	em_counts	em_frac_of_cluster	em_flag	even_block_size	unique_reads_cluster_median	top_over_background_floor	evidence_contradiction	confidence	confirmation_status	marker_consistency	population_call	notes
trial2	nontarget100cells_S8	V1R_chr6_cl008		V1R	1	0.5	0.07993582107042517	0				0	no_cluster_above_signal_threshold	0.0	0.0	0.0				insufficient_signal	0				no_call	tentative_unconfirmed		V1R_dominant	no cluster in this sample reaches the calling thresholds (>= 10.0 cluster CPM and >= 0.02 share of sample VR signal); sample total VR CPM = 0.160. No receptor call is made. For a cleared target sample this is itself a reportable negative: the library passed QC but carries no interpretable VR signal.
trial2	target100cellsRep1_S6	V1R_chr6_cl008	V1R_chr6_sc007	V1R	1	0.24859849938008832	1177.4314694481516	1	ENSMUSG00000060699	Vmn1r35	Vmn1r35,Vmn1r36,Vmn1r37	3	bam_unique_mapq255	33670.0	15329.0	16402.0	0.9658080431415295	17097.061	0.9460695259293894	no_redistribution_signature	0	1.0	33670.0		moderate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=28.46; background floor (median unique reads of non-top members)=1.0, top/floor=33670.00; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep1_S6	V1R_chr6_cl008	V1R_chr6_sc007	V1R	1	0.24859849938008832	1177.4314694481516	2	ENSMUSG00000093764	Vmn1r36	Vmn1r35,Vmn1r36,Vmn1r37	3	bam_unique_mapq255	1183.0	896.0	640.0	0.03393379611037806	973.22	0.053853336782561656	no_redistribution_signature	0	1.0	33670.0		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=28.46; background floor (median unique reads of non-top members)=1.0, top/floor=33670.00; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep1_S6	V1R_chr6_cl008	V1R_chr6_sc007	V1R	1	0.24859849938008832	1177.4314694481516	3	ENSMUSG00000057612	Vmn1r37	Vmn1r35,Vmn1r36,Vmn1r37	3	bam_unique_mapq255	5.0	3.0	1.0	0.00014342263782915495	1.394	7.713728804883884e-05	no_redistribution_signature	0	1.0	33670.0		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=28.46; background floor (median unique reads of non-top members)=1.0, top/floor=33670.00; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep1_S6	V1R_chr7_cl013	V1R_chr7_sc011	V1R	0	0.20313856022453722	962.1205842480487	1	ENSMUSG00000095629	Vmn1r89	Vmn1r89,Vmn1r86,Vmn1r87	3	bam_unique_mapq255	33139.0	18750.0	14713.0	0.999909480417597	14767.0	1.0	single_paralog_only	0	1.0	33139.0		moderate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=33139.00; background floor (median unique reads of non-top members)=1.0, top/floor=33139.00; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep1_S6	V1R_chr7_cl013	V1R_chr7_sc011	V1R	0	0.20313856022453722	962.1205842480487	2	ENSMUSG00000070816	Vmn1r86	Vmn1r89,Vmn1r86,Vmn1r87	3	bam_unique_mapq255	1.0	1.0	0.0	3.017319413433106e-05	0.0	0.0	single_paralog_only	0	1.0	33139.0		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=33139.00; background floor (median unique reads of non-top members)=1.0, top/floor=33139.00; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep1_S6	V1R_chr7_cl013	V1R_chr7_sc011	V1R	0	0.20313856022453722	962.1205842480487	3	ENSMUSG00000070815	Vmn1r87	Vmn1r89,Vmn1r86,Vmn1r87	3	bam_unique_mapq255	1.0	1.0	0.0	3.017319413433106e-05	0.0	0.0	single_paralog_only	0	1.0	33139.0		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=33139.00; background floor (median unique reads of non-top members)=1.0, top/floor=33139.00; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep1_S6	V1R_chr7_cl019	V1R_chr7_sc014	V1R	0	0.17952386423438538	850.2748318819228	1	ENSMUSG00000091924	Vmn1r185	Vmn1r185	1	bam_unique_mapq255	29712.0	17083.0	12784.0	1.0	13050.348	1.0	single_paralog_only	0		inf		moderate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=inf; background floor (median unique reads of non-top members)=nan, top/floor=inf; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep1_S6	V1R_chr7_cl018	V1R_chr7_sc014	V1R	0	0.1492092686758717	706.6964961993137	1	ENSMUSG00000046130	Vmn1r184	Vmn1r184	1	bam_unique_mapq255	24549.0	13560.0	10522.0	1.0	10846.652	1.0	single_paralog_only	0	0.0	inf		moderate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=inf; background floor (median unique reads of non-top members)=0.0, top/floor=inf; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep1_S6	V1R_chr7_cl017	V1R_chr7_sc013	V1R	0	0.10074911866450352	477.1757799446072	1	ENSMUSG00000062598	Vmn1r178	Vmn1r178,Vmn1r183,Vmn1r168	3	bam_unique_mapq255	25992.0	15908.0	7056.0	0.9998461301738729	7321.878	0.9997267841262806	no_redistribution_signature	0	0.0	inf		moderate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=12996.00; background floor (median unique reads of non-top members)=0.0, top/floor=inf; EM counts shown for context only and were NOT used to rank. n_transcripts=1
